type,doctype,fieldname,label,path,details
link_to_unknown_doctype,Loaner Instrument,item_code,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/loaner_instrument/loaner_instrument.json,"{""options"": ""Item""}"
link_to_unknown_doctype,Loaner Instrument,issued_to,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/loaner_instrument/loaner_instrument.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Loaner Return Check,workflow_state,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/loaner_return_check/loaner_return_check.json,"{""options"": ""Workflow State""}"
link_to_unknown_doctype,Measurement Session,technician,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/lab/doctype/measurement_session/measurement_session.json,"{""options"": ""User""}"
link_to_unknown_doctype,Final Qa Checklist,qa_technician,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/qa/doctype/final_qa_checklist/final_qa_checklist.json,"{""options"": ""User""}"
link_to_unknown_doctype,Final Qa Checklist,related_repair,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/qa/doctype/final_qa_checklist/final_qa_checklist.json,"{""options"": ""Repair Log""}"
link_to_unknown_doctype,Pulse Update,entered_by,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/pulse_update/pulse_update.json,"{""options"": ""User""}"
link_to_unknown_doctype,Repair Feedback,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_feedback/repair_feedback.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Repair Issue,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_issue/repair_issue.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Repair Order,client,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_order/repair_order.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Repair Order,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_order/repair_order.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Repair Order,technician_assigned,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_order/repair_order.json,"{""options"": ""User""}"
link_to_unknown_doctype,Repair Request,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json,"{""options"": ""Customer""}"
missing_label,Repair Request,cb1,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json,{}
link_to_unknown_doctype,Repair Request,technician_assigned,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/repair/doctype/repair_request/repair_request.json,"{""options"": ""User""}"
